cake,ingredient,measure,quantity
Strawberry Roll,cottage cheese,pound,0.5
Strawberry Roll,eggs,one,4
Strawberry Roll,sifted flour,cup,0.75
Strawberry Roll,granulated sugar,cup,0.75
Strawberry Roll,strawberries,quart,1
Strawberry Roll,salt,teaspoon,1
Strawberry Roll,vanilla extract,teaspoon,1
Savarin,butter,cup,0.7
Savarin,eggs,one,3
Savarin,sifted flour,cup,1.5
Savarin,lemon rind,teaspoon,1
Savarin,milk,cup,0.25
Savarin,granulated sugar,cup,0.6
Savarin,salt,teaspoon,0.5
Savarin,water,cup,0.25
Savarin,yeast,ounce,1
Banana Shortcake,baking powder,teaspoon,4
Banana Shortcake,butter,cup,0.6
Banana Shortcake,bananas,one,3
Banana Shortcake,sifted flour,cup,3
Banana Shortcake,heavy cream,cup,1
Banana Shortcake,milk,cup,1
Banana Shortcake,granulated sugar,cup,0.13
Banana Shortcake,salt,teaspoon,0.5
Strawberry Shortcake,baking powder,teaspoon,3
Strawberry Shortcake,butter,cup,0.12
Strawberry Shortcake,cottage cheese,pound,0.2
Strawberry Shortcake,eggs,one,1
Strawberry Shortcake,sifted flour,cup,2
Strawberry Shortcake,milk,cup,0.5
Strawberry Shortcake,sour cream,cup,1
Strawberry Shortcake,granulated sugar,cup,0.6
Strawberry Shortcake,strawberries,quart,1
Strawberry Shortcake,salt,teaspoon,0.75
Sponge,almond essence,teaspoon,0.5
Sponge,baking powder,teaspoon,1
Sponge,eggs,one,4
Sponge,sifted flour,cup,0.75
Sponge,granulated sugar,cup,0.75
Sponge,salt,teaspoon,0.25
Sponge,water,cup,2
